"job_title","company_name","source","id","timestamp","timezone"
"Senior Tax Accounting","PT DS Solutions International","Jobstreet","3908466","2022-06-13 21:56:24","Asia/Jakarta"
"COMPLIANCE & FINANCIAL CRIME (E-Payment, FinTech, PaymentGateway)","PT AsiaPay Technology Indonesia","Jobstreet","3908724","2022-06-13 21:56:24","Asia/Jakarta"
"IT Compliance Staff","","Jobstreet","3898306","2022-06-13 21:56:24","Asia/Jakarta"
"Audit Development & Quality Assurance Officer","PT Kirana Megatara, Tbk (Triputra Group)","Jobstreet","3900660","2022-06-13 21:56:24","Asia/Jakarta"
"Internal Audit Coordinator Hospital","Ciputra Group","Jobstreet","3885647","2022-06-13 21:56:24","Asia/Jakarta"
"Tax Manager","Suryani Suyanto & Associates","Jobstreet","3897848","2022-06-13 21:56:24","Asia/Jakarta"
"Deputy Head of Internal Audit","PT RHB Sekuritas Indonesia","Jobstreet","3904575","2022-06-13 21:56:24","Asia/Jakarta"
"System Administrator","PT Infinitium Solutions","Jobstreet","3885834","2022-06-13 21:56:24","Asia/Jakarta"
"Internal Audit Staff","PT Bali Towerindo Sentra Tbk","Jobstreet","3900673","2022-06-13 21:56:24","Asia/Jakarta"
"IT Governance & Compliance Supervisor","PT Tunas Ridean Tbk","Jobstreet","3909043","2022-06-13 21:56:24","Asia/Jakarta"
"Head Internal Audit","PT GTS International","Jobstreet","3913343","2022-06-13 21:56:24","Asia/Jakarta"
"Senior Associate","Harsono Strategic Consulting","Jobstreet","3918161","2022-06-13 21:56:24","Asia/Jakarta"
"Internal Audit Manager","Mega Insurance","Jobstreet","3912216","2022-06-13 21:56:24","Asia/Jakarta"
"Accounting & Tax Assistant Manager","PT Asasta Puja Gancar","Jobstreet","3889974","2022-06-13 21:56:24","Asia/Jakarta"
"Branch Control (Internal Audit)","PT Central Mega Kencana","Jobstreet","3895871","2022-06-13 21:56:24","Asia/Jakarta"
"Internal Audit Manager","PT Tunas Ridean Tbk","Jobstreet","3900741","2022-06-13 21:56:24","Asia/Jakarta"
"IT Strategic and Governance","PT Lawencon Internasional","Jobstreet","3919238","2022-06-15 07:14:28","Asia/Jakarta"
"Internal Audit Staff","PT Impack Pratama Industri Tbk","Jobstreet","3921524","2022-06-15 11:56:26","UTC"
"Internal Audit Staff","MAXI GROUP","Jobstreet","3921871","2022-06-16 11:48:01","UTC"
"Internal Control (IC) - JABODETABEK","PT Maybank Indonesia Finance","Jobstreet","3922697","2022-06-16 11:48:01","UTC"
"Regulatory Compliance Analyst","PT AXA Mandiri Financial Service","Jobstreet","3922091","2022-06-16 11:48:01","UTC"
"Branch SOP Officer","PT Bank JTrust Indonesia, Tbk","Jobstreet","3923108","2022-06-16 11:48:01","UTC"
"IT Compliance Audit Specialist","PT Sentra Usahatama Jaya","Jobstreet","3923937","2022-06-17 11:54:50","UTC"
"Risk & Compliance","PT Fintegra Homido Indonesia","Jobstreet","3927396","2022-06-21 11:55:01","UTC"
"Business Process - Audit Specialist","PT Multirasa Nusantara (YOSHINOYA Japanese Restaurant)","Jobstreet","3929353","2022-06-22 23:49:53","UTC"
"Finance Officer","Sosplan Creative","Jobstreet","3929433","2022-06-22 23:49:53","UTC"
"Finance Officer","Sosplan Creative","Jobstreet","3929433","2022-06-22 23:49:53","UTC"
"Governance Risk & Compliance VP - Financial Industry (B - 78058)","RGF HR Agent Indonesia","Jobstreet","3930807","2022-06-23 23:55:19","UTC"
"IT Auditor (Governance & Compliance Specialist)","Mandiri Inhealth","Jobstreet","3932142","2022-06-24 11:47:40","UTC"
"INTERNAL AUDIT OFFICER","PT Asuransi Mitra Pelindung Mustika","Jobstreet","3938907","2022-06-30 10:40:58","Asia/Jakarta"
"INTERNAL AUDIT OFFICER","PT Asuransi Mitra Pelindung Mustika","Jobstreet","3938907","2022-06-30 10:41:20","Asia/Jakarta"
"INTERNAL AUDIT OFFICER","PT Asuransi Mitra Pelindung Mustika","Jobstreet","3938907","2022-06-30 10:42:12","Asia/Jakarta"
"Reporting Section Head","PT Unitama Sari Mas","Jobstreet","3939135","2022-06-30 11:56:47","UTC"
